"long","lat","coeff","pval","countries","cumDHI","wdpa_prox","ecoregions","sumTotalMammals_300","sumTotalBirds_300","sumTotalAmphibians_300","sumTotalReptiles_300","sumTotalMammals_crit_300","sumTotalBirds_crit_300","sumTotalAmphibians_crit_300","sumTotalReptiles_crit_300","global_wui_sum_Int16","gdp_1990","gdp_2015","gdp_change","gdp_rel_change","continents","biomes","wdpa_categories"
24.548,9.241,8.25,0,86,29,331,219,75,278,14,31,4,13,0,0,0,1753,3927,2174,224,2,7,-32768
14.066,-9.613,42.68,4e-04,102,35,19,30,77,307,23,59,5,4,0,2,0,4806,6937,2131,144,2,7,-32768
31.368,-25.557,-1.97,0.8181,37,35,128,385,111,415,36,76,5,11,0,1,0,12020,14317,2297,119,2,7,-32768
19.691,15.204,3.17,0,115,11,0,598,31,156,3,18,4,10,0,1,0,1110,2044,934,184,2,7,4
34.78,-4.777,3.13,0,19,16,472,811,134,399,32,50,3,15,0,0,0,1233,1520,287,123,2,7,-32768
19.052,-18.553,0.38,0.7696,36,26,557,809,70,282,15,53,6,12,0,0,0,5716,9801,4085,171,2,7,-32768
19.526,-30.236,0,1,37,3,976,272,45,154,5,35,2,6,0,0,0,7334,11533,4199,157,2,13,-32768
5.899,28.384,0.22,0.0024,122,9,2586,774,14,68,0,16,1,3,0,0,0,10239,13823,3584,135,2,13,-32768
28.344,12.187,-0.2,0.8693,86,17,1973,598,47,284,4,16,3,15,0,1,0,1753,3927,2174,224,2,7,-32768
20.972,2.29,1.95,0.0126,32,46,1149,497,130,293,37,91,7,3,0,5,0,1268,737,-531,58,2,1,-32768
3.274,10.393,7.59,0.0088,101,32,168,777,93,333,27,65,0,12,0,3,0,1242,2608,1366,210,2,7,-32768
44.767,7.863,1.22,0.1204,14,14,601,638,47,176,2,46,2,7,0,0,0,652,1530,878,235,2,7,-32768
11.301,19.527,0.1,0.0029,149,8,134,652,16,52,1,24,2,4,0,0,0,906,897,-9,99,2,13,-32768
18.524,18.271,31.79,0.0061,115,7,334,598,13,58,1,15,3,5,0,0,0,1110,2044,934,184,2,7,-32768
11.824,-1.058,3.11,0,148,42,601,525,107,350,63,109,10,2,0,6,0,19500,18832,-668,97,2,1,-32768
4.991,14.608,4.54,0,149,10,782,598,44,233,5,32,2,11,0,1,0,906,897,-9,99,2,7,-32768
